TTC Simonswerk Rheda;0;0;0;0;;
TTSG Rietberg-Neuenkirchen e.V.;2;8;0;0;;
TSG Rheda;0;0;0;0;X;
SW Marienfeld;0;0;0;0;;
Post SV Guetersloh;10;4;0;0;;
SC Wiedenbrueck 2000 e.V.;6;12;3;8;;
SV Spexard;8;2;0;0;;
TSV Victoria Clarholz;11;5;0;0;;
TV Einigkeit Langenberg;1;7;0;0;;
DJK Blau-Weiss Avenwedde;3;9;6;1;X;
TV Guetersloh;0;0;0;0;;
TTSV Schloss Holte-Sende;4;10;0;0;;
TTC Oelde;4;10;0;0;X;
TSG Harsewinkel;12;6;0;0;;
DJK Guetersloh;0;0;0;0;;
SC Germania Stromberg;2;8;0;0;X;
VfB Lette;0;0;0;0;;
TV 1912 Verl e.V.;0;0;0;0;;
SV Herzebrock;0;0;0;0;;
SV Rot-Weiss Mastholte;2;8;0;0;;
TV Isselhorst;0;0;0;0;X;
TuS Friedrichsdorf;0;0;0;0;;
SC GW Varensell;0;0;0;0;;
Testverein;0;0;0;0;;
